name,created_at,screen_name,text,category,party,region,display_text_width,is_retweet,favorite_count,retweet_count,location,followers_count,friends_count,listed_count,statuses_count
Richard Shelby,2022-04-27T21:14:12Z,SenShelby,"Today I joined @SenTuberville in introducing legislation to extend the authorization of the Muscle Shoals National Heritage Area for another 15 years. From the Tennessee River to Fame Recording Studio, the landmarks and historic culture of northwest Alabama should be preserved.",neutral,republican,southeast,278,FALSE,51,9,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-27T16:46:00Z,SenShelby,"Afterschool professionals play a big role in the lives of millions of children each year. Thanks to quality programs &amp; the individuals who staff them, parents can go to work while knowing their children are in a safe, positive learning environment. @AlabamaELA #HeartOfAfterSchool https://t.co/B4LDdwAUee",praise,republican,southeast,284,FALSE,16,5,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-24T01:22:38Z,SenShelby,"Saddened by the passing of a true statesman, Senator Orrin Hatch - the longest-serving senator in Utah history and former President Pro Tempore. Orrin cared deeply about his state and worked hard to advance meaningful legislation in the US Senate for 42 years. He will be missed.",neutral,republican,southeast,279,FALSE,138,25,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-18T21:04:16Z,SenShelby,"Each Congress I introduce legislation that would result in an immediate tax cut for nearly all taxpayers and reduce the size, scope, and complexity of the IRS. #TaxDay serves as a reminder that our current tax code is not what this nation needs. https://t.co/AUirRsMaeG",critical,republican,southeast,269,FALSE,21,6,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-17T14:29:00Z,SenShelby,"My wife, Annette, and I wish everyone a happy Easter. He is risen. #EasterSunday https://t.co/KEwgORzN6a",neutral,republican,southeast,80,FALSE,35,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-07T18:33:24Z,SenShelby,"Today I voted against the confirmation of Judge Ketanji Brown Jackson, the President's #SCOTUS nomination. My concerns regarding her judicial philosophy and sentencing record remain the same. As such, I do not believe she should serve on the Supreme Court. https://t.co/r6rDg1susU",critical,republican,southeast,280,FALSE,23,4,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-06T18:12:19Z,SenShelby,.@UofAlabama received a competitive $360M @NOAA award to facilitate a cutting-edge Cooperative Institute focused on hydrology. This is excellent news for AL &amp; its findings will influence decisions made across the continent for years to come. @AlabamaWater https://t.co/zpIe2ShbEQ,praise,republican,southeast,283,FALSE,20,4,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-06T17:11:04Z,SenShelby,A lot of great things happening in several of Alabama’s downtowns. This article from @MadeinAL highlights some exciting projects and plans for growth for our Main Streets. @MainStreetAL https://t.co/7ASDNIteml,praise,republican,southeast,185,FALSE,15,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-05T14:52:31Z,SenShelby,"BIG news for Alabama! #ProjectKuiper will have a significant impact on our state through its investment in @ULAlaunch and others in the space industry. The agreement also aims to provide tens of millions of customers access to fast, affordable broadband. https://t.co/Tqlktgsfzc",praise,republican,southeast,278,FALSE,75,13,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-01T16:25:11Z,SenShelby,"While I enjoyed meeting Judge Jackson, her answers did not sufficiently alleviate my concerns. As such, I am unable to support her nomination to the Supreme Court. 3/3 https://t.co/r6rDg1susU",critical,republican,southeast,191,FALSE,12,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-01T16:25:11Z,SenShelby,"Judge Jackson and I had a candid discussion in which I questioned her about my concerns, such as her judicial philosophy, position on court-packing, and prior sentencing record as a judge. 2/3",neutral,republican,southeast,192,FALSE,5,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-04-01T16:25:10Z,SenShelby,"Yesterday, I had the opportunity to meet with Judge Jackson. As with any #SCOTUS nominee, I believe it's important to carefully consider their qualifications &amp; credentials, including their judicial philosophy, temperament, &amp; prior decisions as a judge. 1/3 https://t.co/r6rDg1susU",neutral,republican,southeast,288,FALSE,7,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-31T16:55:51Z,SenShelby,"This morning, I attended a Big 8 meeting with the Secretary of Defense. The FY23 budget he presented was utterly disconnected from reality. The American people should be concerned. With the challenges in the world, we don’t need to cut defense funding; we need a robust increase.",critical,republican,southeast,279,FALSE,22,7,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-30T21:16:48Z,SenShelby,"I want to thank @NEMA_DC for honoring me with their 2022 Legislative Award this afternoon. Throughout my time in Congress, I've been committed to advancing safety &amp; security in the emergency management &amp; homeland security community. A ready and informed nation is a strong nation. https://t.co/Pmt2MHk3Wq",praise,republican,southeast,288,FALSE,23,4,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-29T22:16:32Z,SenShelby,"President Biden, again, wants to overfund liberal policies and shortchange our military. His budget proposes a 14% increase for non-defense spending and only 4% for defense. We need to reverse those numbers. The security of the nation is paramount.",critical,republican,southeast,248,FALSE,92,24,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-28T22:38:27Z,SenShelby,"I am disappointed that the Administration chose not to build on Congress’s FY22 bipartisan work. Once again, this request puts us on the wrong foot to start the fiscal year 2023 cycle, and it does not bode well for the coming appropriations process. https://t.co/gbChmrd1l2",critical,republican,southeast,273,FALSE,4,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-28T22:38:27Z,SenShelby,"The Biden budget increases non-defense spending by nearly $100B while defense spending does not even keep pace with the skyrocketing rate of inflation. Also, as illegal border crossings occur at record rates, the President actually proposes a cut in spending for border security.",critical,republican,southeast,279,FALSE,44,25,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-28T22:38:26Z,SenShelby,"After his budget request last year was roundly rejected in Congress, the President has again proposed a fiscal blueprint that overspends on wasteful domestic programs &amp; fails to adequately provide for our nation’s defense. In other words, more of the same. https://t.co/gbChmrd1l2",critical,republican,southeast,284,FALSE,10,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-25T16:42:50Z,SenShelby,"Pleased that @AuburnU was awarded a $24 million @DHSgov contract for canine detection research – the largest contract in the school’s history. This will further enhance their world-class, well-respected DCSITE program. Great news for Alabama &amp; the nation. https://t.co/9hjKpkgdYL",praise,republican,southeast,283,FALSE,25,5,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-22T19:15:13Z,SenShelby,"I hope you will join me in celebrating #NationalAgDay and all that our farmers &amp; producers do for our nation. They work tirelessly to keep this country fed and clothed, and I am proud to represent a state where #agriculture is a major driving economic force.",praise,republican,southeast,262,FALSE,21,4,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-17T20:23:27Z,SenShelby,"Today marks a significant milestone for @NASA_SLS, the most powerful rocket we've ever built! The SLS with the @NASA_Orion spacecraft will soon undergo final testing. This rocket is the result of a great deal of hard work. I commend everyone who helped make this possible. https://t.co/hRWSqiis3a",,republican,southeast,272,FALSE,15,4,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-17T17:52:23Z,SenShelby,Wishing everyone a happy and lucky #StPatricksDay! https://t.co/10T0T23sFx,,republican,southeast,50,FALSE,15,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-16T13:38:36Z,SenShelby,"Zelenskyy’s address was a Churchillian moment. He spoke to Congress and the whole world about the plight of the Ukrainian people. We should do everything possible to help him, now.",,republican,southeast,180,FALSE,327,58,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-15T21:50:31Z,SenShelby,"Joined 48 of my @SenateGOP colleagues in urging @POTUS to focus on an Iran policy that seriously weakens their nuclear weapons capability, constrains Iran's ballistic missile program, and confronts Iran's support for terrorism. Now is not the time to be giving up leverage abroad. https://t.co/RS3NzhXHL3",,republican,southeast,280,FALSE,11,8,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-15T20:23:23Z,SenShelby,"I'm pleased to support Shalanda Young as the next OMB Director. Since February 2021, I have supported her for this position. A former Appropriations Cmte Staff Director, she knows the process inside-out and has demonstrated her ability to work with both sides to get the job done.",,republican,southeast,280,FALSE,86,12,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:32:00Z,SenShelby,"Growing the FBI’s presence in Huntsville has been a priority of mine for quite some time, and I am proud to have helped bring it to fruition with these FY22 funding bills. https://t.co/MOvSgo35Ik",,republican,southeast,195,FALSE,8,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:30:28Z,SenShelby,"I am very proud to announce that the FY22 funding bills include more than $1 billion for the Mobile area, with $300 million for improvements to the Port and the airport. This is great news for our Gulf Coast. https://t.co/cccBfpw9Tv",,republican,southeast,232,FALSE,13,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:29:54Z,SenShelby,"These FY22 funding bills invest in a host of domestic priorities, including medical research, agriculture, local infrastructure, &amp; rural communities. These resources will bolster needed advancements, promote economic development, &amp; encourage job creation. https://t.co/paOGdZxeEP",,republican,southeast,287,FALSE,4,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:29:16Z,SenShelby,"I am very pleased that the FY22 funding bills contain a significant increase of $42 billion to our defense budget to help develop, maintain, and equip our military forces and intelligence community. https://t.co/LNlOIxOJoR",,republican,southeast,222,FALSE,4,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:26:18Z,SenShelby,"On the non-defense side, it cuts billions of dollars in wasteful spending proposed in the President’s budget.  This is a good package, and I urge the President to sign it with haste. https://t.co/rQ0Oa7xGcP",,republican,southeast,206,FALSE,2,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:26:18Z,SenShelby,"This package bolsters our defense budget by $42 billion, with serious investments in modernization and readiness, and increases funding for border security. It also provides critical emergency assistance to our allies in response to Russia’s invasion of Ukraine.",,republican,southeast,262,FALSE,2,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:26:17Z,SenShelby,"I am pleased to announce that Congress has now completed the FY22 appropriations process. I thank @SenatorLeahy, @rosadelauro, &amp; @RepKayGranger, as well as @LeaderMcConnell &amp; @SenSchumer for their diligence and determination to complete our work.
https://t.co/rQ0Oa7xGcP",,republican,southeast,278,FALSE,3,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:56Z,SenShelby,My hope is that we can pass this legislation and use the same framework that made this bill possible as we begin the FY23 appropriations process.,,republican,southeast,145,FALSE,9,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:55Z,SenShelby,"Finally, the FY22 package provides critical emergency assistance to our military, Ukraine, and our European allies without reducing base defense spending by a single dollar.",,republican,southeast,173,FALSE,10,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:55Z,SenShelby,The FY22 bill also provides an 11% increase over FY21 for the Department of Homeland Security and cuts nearly $65 billion in wasteful non-defense spending proposed in the Biden Administration’s budget – a nearly 10% decrease from the request level.,,republican,southeast,248,FALSE,6,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:54Z,SenShelby,I urge my colleagues to support the FY22 Omnibus Appropriations bill. This bill provides $782 billion for the Department of Defense and for other defense functions – nearly $42 billion more than FY21.,,republican,southeast,200,FALSE,7,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:54Z,SenShelby,"As political compromise has become more and more difficult, great credit belongs to Appropriations Chairman @SenatorLeahy for making the tough choices that needed to be made to reach an agreement.",,republican,southeast,196,FALSE,21,5,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-11T03:05:53Z,SenShelby,"The FY22 appropriations package represents a massive bipartisan effort that rests upon a framework that preserves all legacy riders, rejects poison pill policy provisions from both sides, and achieves dollar-for-dollar funding parity for defense and non-defense increases.",,republican,southeast,272,FALSE,16,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-10T17:05:04Z,SenShelby,"Inflation is still rising and is now at 7.9% – breaking another 40 yr record. Gasoline and food were some of the highest contributors, with gasoline rising by 6.6%. We need leadership that is willing to do what it takes to get #inflation under control and protect price stability.",,republican,southeast,280,FALSE,14,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-09T20:14:30Z,SenShelby,"Good news! @Outdoor_Alabama has just announced the start date for 2022's #RedSnapper season. Beginning May 27, private &amp; state-licensed charter vessel anglers can enjoy four-day weekends for fishing in state &amp; federal waters. Looking forward to the season. https://t.co/vvfWClTGzn",,republican,southeast,288,FALSE,5,1,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-09T18:00:22Z,SenShelby,"Maren Fagan and Clara Ragan have been selected as the 2022 Alabama delegates for the @SenateYouth Program. They have exhibited exceptional skills and dedication in the classroom, while also showing interest in public service. @daphne_high @AHSAuburnTigers https://t.co/gbraU085Gu",,republican,southeast,279,FALSE,9,2,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-08T19:35:38Z,SenShelby,I joined my @BankingGOP colleagues in urging the Biden administration to pause any financial regulatory efforts that threaten our energy independence. Americans have worked too hard for this administration to further saddle households with higher costs. https://t.co/RYZJ5eeNBk,,republican,southeast,253,FALSE,8,3,"Tuscaloosa, Alabama",96621,543,2364,3161
Richard Shelby,2022-03-07T20:37:02Z,SenShelby,Two inspiring educators from #Alabama received a national @Milken Educator Award: Kelsey Cooper of @Madisonschools &amp; Kaitlin McPeake of @HooverSchools. They are certainly deserving of this recognition. I thank them for their hard work and wish them continued success. https://t.co/xZsAVLgN1G,,republican,southeast,271,FALSE,13,5,"Tuscaloosa, Alabama",96621,543,2364,3161
